Facility Type,Visit Date,Average Time Spent
Hospital,2025-12-03,42.25
Clinic,2025-12-03,35
Specialty Center,2025-12-02,29.5
Hospital,2025-12-02,31
Clinic,2025-12-02,31
Specialty Center,2025-12-01,48
Hospital,2025-12-01,24.5
Clinic,2025-12-01,42.5
Clinic,2025-11-30,42.33
Specialty Center,2025-11-29,44
Hospital,2025-11-29,36
Clinic,2025-11-29,22.5
Specialty Center,2025-11-28,19.5
Hospital,2025-11-28,23
Clinic,2025-11-28,29
Specialty Center,2025-11-27,24
Hospital,2025-11-27,35
Clinic,2025-11-27,44.5
